#      date    value 
 2058-03-16 3.26152e-05 
 2058-04-16 3.22653e-05 
 2058-05-16 3.26241e-05 
 2058-06-16 3.36584e-05 
 2058-07-16 3.36937e-05 
 2058-08-16 3.32765e-05 
 2058-09-16 3.27863e-05 
 2058-10-16 3.15814e-05 
 2058-11-16 3.19579e-05 
 2058-12-16 3.28362e-05 
 2059-01-16 3.30907e-05 
 2059-02-15 3.33869e-05 
 2059-03-16 3.2955e-05 
 2059-04-16 3.2925e-05 
 2059-05-16 3.33846e-05 
 2059-06-16 3.37332e-05 
 2059-07-16 3.42233e-05 
 2059-08-16 3.37827e-05 
 2059-09-16 3.28153e-05 
 2059-10-16 3.20201e-05 
 2059-11-16 3.24037e-05 
 2059-12-16 3.25485e-05 
 2060-01-16 3.33538e-05 
 2060-02-15 3.32064e-05 
 2060-03-16 3.27302e-05 
 2060-04-16 3.26603e-05 
 2060-05-16 3.35579e-05 
 2060-06-16 3.37261e-05 
 2060-07-16 3.42664e-05 
 2060-08-16 3.37592e-05 
 2060-09-16 3.34192e-05 
 2060-10-16 3.18528e-05 
 2060-11-16 3.20869e-05 
 2060-12-16 3.31003e-05 
 2061-01-16 3.32413e-05 
 2061-02-15 3.31548e-05 
 2061-03-16 3.28035e-05 
 2061-04-16 3.28517e-05 
 2061-05-16 3.29945e-05 
 2061-06-16 3.39099e-05 
 2061-07-16 3.39105e-05 
 2061-08-16 3.3647e-05 
 2061-09-16 3.26637e-05 
 2061-10-16 3.18381e-05 
 2061-11-16 3.1912e-05 
 2061-12-16 3.35456e-05 
 2062-01-16 3.26297e-05 
 2062-02-15 3.36581e-05 
 2062-03-16 3.22199e-05 
 2062-04-16 3.2736e-05 
 2062-05-16 3.2835e-05 
 2062-06-16 3.38082e-05 
 2062-07-16 3.34669e-05 
 2062-08-16 3.35531e-05 
 2062-09-16 3.22479e-05 
 2062-10-16 3.21264e-05 
 2062-11-16 3.18252e-05 
 2062-12-16 3.28549e-05 
 2063-01-16 3.30567e-05 
 2063-02-15 3.285e-05 
 2063-03-16 3.25527e-05 
 2063-04-16 3.3012e-05 
 2063-05-16 3.29645e-05 
 2063-06-16 3.38132e-05 
 2063-07-16 3.35746e-05 
 2063-08-16 3.35607e-05 
 2063-09-16 3.29086e-05 
 2063-10-16 3.19838e-05 
 2063-11-16 3.25526e-05 
 2063-12-16 3.27002e-05 
 2064-01-16 3.35056e-05 
 2064-02-15 3.30712e-05 
 2064-03-16 3.23858e-05 
 2064-04-16 3.2342e-05 
 2064-05-16 3.2912e-05 
 2064-06-16 3.36158e-05 
 2064-07-16 3.40956e-05 
 2064-08-16 3.3528e-05 
 2064-09-16 3.25111e-05 
 2064-10-16 3.21126e-05 
 2064-11-16 3.24879e-05 
 2064-12-16 3.23474e-05 
 2065-01-16 3.31905e-05 
 2065-02-15 3.26617e-05 
 2065-03-16 3.33116e-05 
 2065-04-16 3.268e-05 
 2065-05-16 3.28944e-05 
 2065-06-16 3.34446e-05 
 2065-07-16 3.35685e-05 
 2065-08-16 3.31011e-05 
 2065-09-16 3.31086e-05 
 2065-10-16 3.25338e-05 
 2065-11-16 3.20671e-05 
 2065-12-16 3.26911e-05 
 2066-01-16 3.30625e-05 
 2066-02-15 3.29714e-05 
 2066-03-16 3.25342e-05 
 2066-04-16 3.27016e-05 
 2066-05-16 3.25656e-05 
 2066-06-16 3.34395e-05 
 2066-07-16 3.337e-05 
 2066-08-16 3.33662e-05 
 2066-09-16 3.26251e-05 
 2066-10-16 3.21483e-05 
 2066-11-16 3.24547e-05 
 2066-12-16 3.23885e-05 
 2067-01-16 3.32923e-05 
 2067-02-15 3.27811e-05 
 2067-03-16 3.2448e-05 
 2067-04-16 3.24175e-05 
 2067-05-16 3.25265e-05 
 2067-06-16 3.37932e-05 
 2067-07-16 3.36666e-05 
 2067-08-16 3.35128e-05 
 2067-09-16 3.28563e-05 
 2067-10-16 3.2246e-05 
 2067-11-16 3.24027e-05 
 2067-12-16 3.35496e-05 
 2068-01-16 3.3502e-05 
 2068-02-15 3.34648e-05 
 2068-03-16 3.29182e-05 
 2068-04-16 3.2792e-05 
 2068-05-16 3.26483e-05 
 2068-06-16 3.34709e-05 
 2068-07-16 3.37278e-05 
 2068-08-16 3.39289e-05 
 2068-09-16 3.26788e-05 
 2068-10-16 3.19523e-05 
 2068-11-16 3.26272e-05 
 2068-12-16 3.27547e-05 
 2069-01-16 3.25593e-05 
 2069-02-15 3.29019e-05 
 2069-03-16 3.29451e-05 
 2069-04-16 3.2847e-05 
 2069-05-16 3.34823e-05 
 2069-06-16 3.33859e-05 
 2069-07-16 3.3989e-05 
 2069-08-16 3.36284e-05 
 2069-09-16 3.27205e-05 
 2069-10-16 3.20811e-05 
 2069-11-16 3.19467e-05 
 2069-12-16 3.29929e-05 
 2070-01-16 3.30184e-05 
 2070-02-15 3.3171e-05 
 2070-03-16 3.21335e-05 
 2070-04-16 3.24086e-05 
 2070-05-16 3.29871e-05 
 2070-06-16 3.39349e-05 
 2070-07-16 3.34836e-05 
 2070-08-16 3.35788e-05 
 2070-09-16 3.2564e-05 
 2070-10-16 3.21331e-05 
 2070-11-16 3.17714e-05 
 2070-12-16 3.30697e-05 
 2071-01-16 3.28142e-05 
 2071-02-15 3.32949e-05 
 2071-03-16 3.25718e-05 
 2071-04-16 3.29829e-05 
 2071-05-16 3.32049e-05 
 2071-06-16 3.37029e-05 
 2071-07-16 3.39271e-05 
 2071-08-16 3.37449e-05 
 2071-09-16 3.24905e-05 
 2071-10-16 3.2137e-05 
 2071-11-16 3.21259e-05 
 2071-12-16 3.34016e-05 
 2072-01-16 3.29922e-05 
 2072-02-15 3.36483e-05 
 2072-03-16 3.19934e-05 
 2072-04-16 3.25175e-05 
 2072-05-16 3.2728e-05 
 2072-06-16 3.38934e-05 
 2072-07-16 3.38543e-05 
 2072-08-16 3.37809e-05 
 2072-09-16 3.23568e-05 
 2072-10-16 3.16808e-05 
 2072-11-16 3.2124e-05 
 2072-12-16 3.27031e-05 
 2073-01-16 3.3768e-05 
 2073-02-15 3.25019e-05 
 2073-03-16 3.30717e-05 
 2073-04-16 3.26268e-05 
 2073-05-16 3.32221e-05 
 2073-06-16 3.36845e-05 
 2073-07-16 3.36036e-05 
 2073-08-16 3.36611e-05 
 2073-09-16 3.2922e-05 
 2073-10-16 3.23058e-05 
 2073-11-16 3.24134e-05 
 2073-12-16 3.24955e-05 
 2074-01-16 3.26868e-05 
 2074-02-15 3.31688e-05 
 2074-03-16 3.21199e-05 
 2074-04-16 3.26586e-05 
 2074-05-16 3.26132e-05 
